qiskit,linear,linear_reduced,shp_reduced,mst_reduced,shp,mst,gleinig,dcsp,topdown,bdsp,lowrank,baa,merge,cvoqram,pivot,isometry,svd,ucg
11,118,14,12,14,116,118,6,42,22,40,8,8,6,20,24,11,8,11
11,126,22,14,19,120,120,7,56,22,55,8,8,7,29,22,11,7,11
11,120,18,12,14,117,118,6,49,17,39,5,5,6,38,30,11,7,11
11,117,10,6,10,116,118,7,35,22,24,6,6,7,29,21,11,9,11
11,125,22,14,20,116,117,6,63,20,55,6,6,6,34,21,11,6,11
11,121,16,8,14,115,119,5,56,22,53,7,7,5,42,30,11,8,11
11,124,11,12,8,118,120,6,63,22,54,8,8,6,50,29,11,8,11
11,121,26,8,23,115,119,6,42,21,38,6,6,6,35,28,11,8,11
11,119,12,6,17,113,117,5,28,22,24,7,4,5,18,9,11,9,11
11,120,14,12,22,117,122,7,63,22,52,7,7,7,44,28,11,7,11
11,117,4,13,10,113,120,5,21,22,18,6,6,5,6,9,11,8,11
11,119,23,7,20,114,118,6,56,22,40,7,7,6,34,24,11,6,11
9,122,16,8,18,116,122,7,63,20,53,6,6,7,47,24,9,8,9
11,116,12,6,12,114,116,7,56,22,54,6,6,7,27,24,11,8,11
11,124,27,10,10,116,117,5,63,22,54,8,8,5,51,29,11,8,11
11,122,10,14,10,117,116,6,63,20,53,6,6,6,39,20,11,6,11
11,124,18,12,20,120,126,7,63,22,52,7,7,7,50,32,11,7,11
11,118,10,8,22,116,121,6,56,22,40,6,6,6,37,21,11,8,11
11,117,14,6,14,114,117,5,56,18,55,6,6,5,35,29,11,8,11
11,117,22,20,26,117,115,6,42,22,40,6,6,6,30,24,11,7,11
11,121,23,10,11,116,117,6,49,22,40,8,8,6,24,23,11,9,11
11,119,12,12,14,117,121,6,56,22,54,8,8,6,31,22,11,8,11
11,126,20,18,20,121,121,7,49,20,39,9,9,7,29,18,11,9,11
11,119,9,10,12,115,121,5,35,22,24,7,4,5,19,14,11,9,11
11,120,10,12,18,117,122,7,70,20,55,8,8,7,44,22,11,8,11
11,122,16,10,14,114,118,5,49,18,37,5,5,5,48,28,11,7,11
11,121,15,10,12,115,119,6,49,21,40,7,7,6,36,22,11,7,11
11,118,8,4,10,115,118,6,28,22,25,6,4,6,15,16,11,9,11
9,118,11,6,10,113,116,3,49,20,53,6,6,3,35,29,9,8,9
11,120,27,14,25,117,117,6,49,22,40,7,7,6,22,21,11,7,11
11,122,13,12,10,118,116,5,63,22,52,7,4,5,56,28,11,9,11
11,121,18,12,14,115,117,6,49,20,39,6,6,6,30,24,11,6,11
11,124,12,8,8,115,120,5,42,21,38,5,5,5,40,21,11,7,11
11,122,18,8,18,115,122,8,63,22,54,8,8,8,34,15,11,8,11
11,115,23,21,21,115,116,7,42,18,39,8,8,7,15,14,11,8,11
11,126,20,14,12,120,117,8,63,22,54,8,8,8,52,35,11,8,11
11,119,7,10,4,115,115,5,28,22,17,6,6,5,30,14,11,8,11
11,118,12,12,12,116,118,7,49,22,39,6,6,7,30,20,11,8,11
11,118,12,6,24,113,120,5,21,22,17,6,6,5,19,9,11,8,11
5,119,12,10,10,114,114,5,63,16,57,5,5,5,27,21,5,8,5
9,115,14,10,15,115,113,5,49,16,55,5,5,5,27,23,9,6,9
11,118,12,8,12,115,118,7,49,21,38,6,6,7,37,25,11,8,11
11,122,27,23,26,119,120,8,56,22,56,9,9,8,22,23,11,9,11
