qiskit,shp_reduced,gleinig,topdown,dcsp,bdsp,lowrank,baa,merge,cvoqram,pivot,isometry,svd,ucg
57,849,480,114,385,237,46,46,480,559,46,57,46,57
57,769,474,114,371,235,47,47,474,501,47,57,47,57
57,1029,480,114,378,237,47,47,480,512,47,57,46,57
57,860,468,114,371,238,46,46,468,564,46,57,46,57
57,732,481,114,378,237,46,46,481,555,46,57,47,57
57,966,506,114,378,235,47,47,506,571,47,57,47,57
57,893,539,114,385,239,47,47,539,551,47,57,46,57
57,972,503,114,371,237,46,46,503,561,46,57,46,57
57,770,467,114,357,238,46,46,467,527,46,57,46,57
57,990,524,114,378,238,46,46,524,503,46,57,46,57
57,838,491,114,385,239,46,46,491,543,46,57,47,57
57,781,505,114,371,237,47,47,505,487,47,57,47,57
57,885,519,114,371,239,47,47,519,543,47,57,46,57
57,784,523,114,329,239,46,46,523,509,46,57,47,57
57,855,474,114,371,238,47,47,474,562,47,57,47,57
57,865,542,114,378,239,47,47,542,540,47,57,46,57
57,949,490,114,364,237,46,46,490,504,46,57,46,57
57,839,476,114,371,236,47,47,476,511,47,57,47,57
57,903,484,114,392,237,47,47,484,533,47,57,47,57
57,793,480,114,371,239,46,46,480,466,46,57,46,57
57,843,470,114,392,237,47,47,470,515,47,57,47,57
57,928,501,114,385,239,47,47,501,527,47,57,46,57
57,943,479,114,343,236,47,47,479,537,47,57,47,57
57,998,494,114,371,239,46,46,494,562,46,57,46,57
57,936,497,114,378,238,47,47,497,557,47,57,47,57
57,881,501,114,357,238,46,46,501,523,46,57,46,57
57,841,493,114,371,238,47,47,493,556,47,57,47,57
57,915,498,114,385,238,47,47,498,581,47,57,47,57
57,858,503,114,364,238,47,47,503,520,47,57,47,57
57,856,498,114,350,236,46,46,498,506,46,57,47,57
57,909,501,114,371,238,46,46,501,523,46,57,47,57
57,846,474,114,378,239,47,47,474,518,47,57,46,57
57,868,507,114,364,239,47,47,507,518,47,57,47,57
57,942,474,114,399,239,47,47,474,512,47,57,46,57
57,875,480,114,371,239,46,46,480,532,46,57,46,57
57,902,481,114,385,239,47,47,481,537,47,57,46,57
57,1026,476,114,364,238,46,46,476,517,46,57,47,57
57,929,498,114,378,235,46,46,498,509,46,57,47,57
57,845,501,114,385,238,47,47,501,505,47,57,47,57
57,900,500,114,357,238,46,46,500,557,46,57,47,57
57,753,497,114,371,237,46,46,497,548,46,57,46,57
57,806,477,114,378,234,46,46,477,510,46,57,47,57
57,924,500,114,392,238,47,47,500,544,47,57,47,57
57,865,505,114,378,237,47,47,505,532,47,57,46,57
57,777,473,114,378,237,46,46,473,490,46,57,47,57
57,878,473,114,378,236,47,47,473,511,47,57,46,57
57,900,467,114,378,239,46,46,467,580,46,57,47,57
57,936,475,114,371,239,47,47,475,539,47,57,47,57
57,928,504,114,385,237,46,46,504,555,46,57,46,57
57,1002,476,114,385,239,47,47,476,529,47,57,47,57
57,902,521,114,392,238,47,47,521,550,47,57,46,57
57,859,510,114,371,237,46,46,510,500,46,57,46,57
57,824,476,114,371,239,47,47,476,508,47,57,47,57
57,811,473,114,385,237,47,47,473,569,47,57,46,57
57,977,478,114,371,238,47,47,478,543,47,57,47,57
57,914,490,114,378,238,47,47,490,496,47,57,47,57
57,892,472,114,364,237,46,46,472,503,46,57,47,57
57,818,503,114,378,236,47,47,503,534,47,57,46,57
57,794,495,114,378,237,46,46,495,543,46,57,46,57
57,941,475,114,371,237,47,47,475,548,47,57,47,57
57,965,476,114,378,238,46,46,476,568,46,57,47,57
57,1036,474,114,385,239,46,46,474,570,46,57,47,57
57,884,484,114,343,237,46,46,484,511,46,57,46,57
57,875,539,114,378,239,46,46,539,560,46,57,46,57
57,1001,469,114,392,239,46,46,469,511,46,57,47,57
57,975,480,114,378,239,46,46,480,561,46,57,47,57
57,943,491,114,385,235,46,46,491,507,46,57,47,57
57,905,468,114,364,239,46,46,468,519,46,57,47,57
57,975,479,114,392,239,46,46,479,552,46,57,47,57
57,903,474,114,378,237,46,46,474,539,46,57,46,57
57,750,476,114,385,239,47,47,476,525,47,57,46,57
57,995,472,114,385,237,47,47,472,551,47,57,46,57
57,883,533,114,399,238,46,46,533,571,46,57,46,57
57,922,477,114,378,238,47,47,477,566,47,57,47,57
57,854,477,114,364,239,46,46,477,516,46,57,46,57
57,922,495,114,385,238,47,47,495,547,47,57,46,57
57,831,478,114,371,236,46,46,478,488,46,57,46,57
57,955,473,114,364,237,47,47,473,536,47,57,47,57
57,1007,475,114,378,239,46,46,475,534,46,57,46,57
57,893,476,114,343,239,47,47,476,486,47,57,47,57
57,889,476,114,371,236,47,47,476,511,47,57,47,57
57,860,478,114,357,237,46,46,478,513,46,57,46,57
57,974,505,114,371,238,47,47,505,510,47,57,47,57
57,776,527,114,350,237,47,47,527,543,47,57,46,57
57,942,508,114,385,237,46,46,508,482,46,57,46,57
57,910,470,114,392,238,47,47,470,598,47,57,47,57
57,859,523,114,378,237,47,47,523,498,47,57,47,57
57,923,503,114,378,236,46,46,503,542,46,57,46,57
57,925,503,114,364,231,46,46,503,538,46,57,47,57
57,925,471,114,378,237,47,47,471,516,47,57,47,57
57,899,523,114,371,238,47,47,523,543,47,57,47,57
57,956,469,114,378,237,47,47,469,523,47,57,46,57
57,907,504,114,364,237,47,47,504,515,47,57,46,57
57,913,481,114,378,238,46,46,481,557,46,57,47,57
57,871,493,114,385,237,47,47,493,536,47,57,46,57
57,963,497,114,385,238,46,46,497,574,46,57,47,57
57,915,475,114,364,239,46,46,475,506,46,57,46,57
57,1025,477,114,378,237,46,46,477,532,46,57,47,57
57,940,472,114,378,238,47,47,472,575,47,57,46,57
57,817,480,114,371,238,46,46,480,544,46,57,47,57
57,926,476,114,385,238,46,46,476,550,46,57,47,57
57,895,475,114,371,239,46,46,475,511,46,57,46,57
57,987,474,114,371,239,47,47,474,586,47,57,46,57
57,1032,507,114,378,239,47,47,507,506,47,57,46,57
