qiskit,linear,linear_reduced,shp_reduced,mst_reduced,shp,mst,random,random_reduced,graycode_reduced,gleinig,topdown,dcsp,bdsp,merge,cvoqram,pivot,isometry,ucg
118,742,42,48,48,743,738,754,59,45,30,226,350,310,30,138,116,118,118
120,747,31,34,49,743,739,760,58,60,28,240,315,254,28,130,115,120,120
120,754,60,41,40,744,744,749,73,56,29,240,301,259,29,145,105,120,120
118,756,58,41,49,747,746,765,51,66,30,234,406,348,30,160,125,118,118
120,748,50,33,40,738,738,752,69,42,18,238,322,276,18,116,101,120,120
120,748,58,37,44,745,739,755,52,74,22,240,336,339,22,136,98,120,120
120,754,96,35,32,740,735,754,92,52,20,240,315,301,20,154,123,120,120
120,745,36,30,28,739,737,753,94,47,28,224,315,305,28,116,122,120,120
120,744,58,40,51,744,740,751,71,63,22,240,315,294,22,123,119,120,120
120,750,56,26,37,738,740,756,74,50,22,240,392,287,22,153,114,120,120
106,750,36,30,45,747,741,761,44,45,20,212,308,283,20,110,116,106,106
120,762,62,48,39,742,740,748,44,48,33,228,287,288,33,151,123,120,120
120,749,42,31,31,738,737,747,60,44,21,240,224,179,21,123,98,120,120
120,757,51,52,38,747,741,759,65,66,26,228,224,207,26,127,118,120,120
120,749,43,40,45,742,737,748,67,66,26,240,238,211,26,95,116,120,120
120,749,42,44,34,740,738,751,51,49,24,240,280,277,24,97,114,120,120
120,758,61,56,32,744,743,766,69,66,25,226,343,304,25,138,113,120,120
120,746,59,40,40,735,734,746,34,44,20,232,308,238,20,154,115,120,120
120,754,65,56,64,752,748,762,72,59,23,218,315,262,23,145,105,120,120
120,754,58,40,38,744,741,756,73,45,30,240,322,290,30,126,100,120,120
120,742,47,40,30,737,736,742,72,68,25,238,329,258,25,130,99,120,120
118,746,51,22,32,736,734,749,51,45,16,206,329,297,16,133,125,118,118
120,750,54,52,51,747,743,752,42,54,29,240,322,245,29,137,101,120,120
120,748,59,50,52,747,740,754,76,51,20,222,385,328,20,155,101,120,120
120,758,62,40,45,747,748,756,59,40,27,230,343,321,27,133,105,120,120
120,745,36,40,46,745,739,750,81,41,21,212,364,268,21,137,114,120,120
120,753,47,44,64,744,743,747,51,53,26,240,343,277,26,131,122,120,120
120,742,46,43,22,739,736,747,69,37,18,230,301,236,18,168,116,120,120
120,756,50,52,62,747,748,760,71,53,25,232,287,238,25,129,100,120,120
120,749,54,35,37,739,739,764,76,50,19,240,322,298,19,138,119,120,120
116,749,60,33,42,739,739,750,75,24,24,230,364,302,24,165,117,116,120
120,759,64,37,34,744,741,765,46,32,19,202,294,225,19,118,111,120,120
120,766,74,51,41,747,744,764,64,70,25,227,280,205,25,165,116,120,120
120,754,39,49,54,746,742,752,35,46,26,224,238,211,26,84,86,120,120
120,757,57,54,61,750,746,757,76,56,23,240,343,294,23,144,118,120,120
120,745,56,18,31,736,733,754,72,50,16,240,252,265,16,111,120,120,120
120,753,54,39,44,743,741,750,77,49,33,240,252,267,33,119,101,120,120
120,746,57,37,43,741,738,749,66,54,23,240,336,252,23,140,119,120,120
58,746,48,46,47,742,738,756,58,30,17,178,301,285,17,95,117,58,58
120,760,73,49,50,747,745,758,57,49,26,240,378,339,26,157,116,120,120
120,744,30,33,37,741,739,753,104,49,27,240,259,246,27,133,120,120,120
120,749,57,26,41,739,739,759,64,52,17,240,294,255,17,134,119,120,120
114,748,52,51,42,747,740,758,72,60,22,228,301,299,22,130,103,114,114
120,749,61,22,55,739,738,751,68,48,17,232,371,329,17,140,118,120,120
120,747,62,51,44,747,739,766,79,45,24,236,343,280,24,140,119,120,120
118,757,53,40,47,744,742,765,63,49,27,238,343,295,27,123,117,118,118
120,749,43,37,52,741,740,746,66,43,23,232,329,273,23,100,96,120,120
120,749,54,37,54,744,738,753,72,46,27,236,308,288,27,133,122,120,120
120,745,67,20,33,736,733,742,60,30,15,240,252,248,15,138,101,120,120
120,747,42,35,43,739,737,742,90,31,34,240,196,159,34,82,64,120,120
120,755,60,54,59,751,746,756,67,58,31,228,273,239,31,130,99,120,120
120,751,51,26,36,745,741,749,43,44,23,240,336,243,23,143,118,120,120
120,748,50,31,43,738,738,756,72,51,25,240,322,337,25,112,102,120,120
114,744,39,22,29,735,735,755,36,23,16,194,280,297,16,110,101,114,114
120,758,49,39,41,747,746,756,67,56,27,236,329,300,27,153,120,120,120
120,752,56,24,32,737,736,754,42,50,26,240,287,268,26,167,120,120,120
114,750,50,56,42,741,739,748,69,54,19,234,252,216,19,94,113,114,114
120,750,56,50,30,744,741,757,61,56,34,210,287,321,34,112,103,120,120
120,745,45,30,44,739,739,747,50,39,33,234,378,307,33,116,118,120,120
120,745,39,42,39,740,736,756,58,41,29,232,245,225,29,117,114,120,120
120,753,58,33,37,739,739,752,64,43,20,236,322,238,20,139,100,120,120
120,755,69,39,47,743,742,751,68,39,27,234,273,260,27,149,114,120,120
120,742,48,31,36,739,739,762,68,39,23,238,350,304,23,124,103,120,120
120,748,51,23,41,738,736,748,77,47,21,239,315,233,21,117,95,120,120
120,750,43,32,42,749,741,752,42,41,22,238,287,255,22,126,117,120,120
120,754,64,39,50,746,742,762,67,65,23,236,336,306,23,152,97,120,120
120,750,52,37,49,741,740,756,62,39,24,232,308,259,24,121,100,120,120
120,755,81,46,47,743,738,756,55,52,28,230,273,268,28,124,104,120,120
120,747,40,36,42,743,740,751,70,43,18,236,315,253,18,124,114,120,120
120,744,59,29,40,735,734,749,72,43,22,240,175,155,22,128,120,120,120
120,746,48,41,53,746,742,762,77,48,29,232,273,235,29,105,116,120,120
