qiskit,shp_reduced,gleinig,topdown,dcsp,bdsp,merge,cvoqram,pivot,isometry
1013,4088,2105,2026,3668,2674,2105,2760,20283,1013
1013,4218,2046,2026,3612,2647,2046,2600,19370,1013
1013,3940,2133,2026,3801,2661,2133,2610,18256,1013
1013,4116,2118,2026,3458,2701,2118,2681,19833,1013
1013,4164,2128,2026,3528,2629,2128,2582,19605,1013
1013,3985,2091,2026,3563,2619,2091,2635,20475,1013
1013,4097,1945,2026,3675,2623,1945,2593,19142,1013
1013,3839,2110,2026,3591,2692,2110,2730,20304,1013
1013,4274,1974,2026,3626,2703,1974,2601,19850,1013
1013,3933,1992,2026,3535,2770,1992,2764,20967,1013
1013,4295,2142,2026,3500,2671,2142,2599,20504,1013
1013,4137,2024,2026,3710,2694,2024,2640,19139,1013
1013,3790,1909,2026,3710,2673,1909,2771,19185,1013
1013,4176,1992,2026,3759,2711,1992,2722,19394,1013
1013,4079,2038,2026,3381,2688,2038,2567,19601,1013
1013,4062,2192,2026,3745,2641,2192,2690,19160,1013
1013,4013,2034,2026,3843,2687,2034,2672,18922,1013
1013,4030,2060,2026,3682,2730,2060,2636,18936,1013
1013,4425,2050,2026,3703,2677,2050,2684,19161,1013
1013,4151,2108,2026,3843,2709,2108,2610,19151,1013
1013,4056,2149,2026,3612,2748,2149,2638,21144,1013
1013,3785,2008,2026,3808,2686,2008,2679,20287,1013
1013,3913,1914,2026,3647,2585,1914,2523,18274,1013
1013,4026,2101,2026,3703,2716,2101,2702,19370,1013
1013,4014,2000,2026,3332,2633,2000,2649,20491,1013
1013,3890,1921,2026,3542,2689,1921,2595,19162,1013
1013,4135,1897,2026,3647,2609,1897,2511,19394,1013
1013,4223,2065,2026,3661,2744,2065,2693,20063,1013
1013,4153,1973,2026,3367,2726,1973,2605,20721,1013
1013,3887,2122,2026,3633,2724,2122,2581,19373,1013
1013,4031,2097,2026,3738,2758,2097,2814,18939,1013
1013,4368,2152,2026,3766,2761,2152,2703,19607,1013
1013,4249,2007,2026,3745,2680,2007,2770,21191,1013
1013,4285,1998,2026,3661,2740,1998,2491,20274,1013
1013,4110,2035,2026,3528,2693,2035,2758,19799,1013
1013,4015,2042,2026,3647,2641,2042,2737,20041,1013
1013,4136,2029,2026,3752,2700,2029,2758,20508,1013
1013,4325,2090,2026,3773,2661,2090,2629,19176,1013
1013,3784,2105,2026,3948,2724,2105,2757,18479,1013
1013,3742,1997,2026,3731,2489,1997,2620,18938,1013
1013,4322,2121,2026,3647,2681,2121,2611,20498,1013
1013,3866,2145,2026,3752,2689,2145,2682,19827,1013
1013,4251,2122,2026,3640,2694,2122,2750,19816,1013
1013,3872,2075,2026,3556,2699,2075,2622,18694,1013
1013,4267,2044,2026,3745,2722,2044,2678,19373,1013
1013,3905,2028,2026,3731,2676,2028,2695,19830,1013
1013,4061,2212,2026,3563,2658,2212,2610,19590,1013
1013,3978,1969,2026,3850,2756,1969,2564,20276,1013
1013,3963,2209,2026,3801,2792,2209,2716,20265,1013
1013,3967,1871,2026,3801,2597,1871,2743,19591,1013
1013,3960,2137,2026,3710,2699,2137,2615,20714,1013
1013,4044,2033,2026,3794,2697,2033,2730,19368,1013
1013,4271,2029,2026,3773,2714,2029,2735,21163,1013
1013,4077,2013,2026,3731,2726,2013,2627,18474,1013
1013,4318,2071,2026,3619,2596,2071,2696,19856,1013
1013,4088,2158,2026,3640,2694,2158,2631,20289,1013
1013,3792,1986,2026,3598,2723,1986,2807,20948,1013
1013,3935,2065,2026,3780,2628,2065,2725,20712,1013
1013,4246,1942,2026,3913,2692,1942,2755,20499,1013
1013,3918,1951,2026,3668,2677,1951,2699,19813,1013
1013,4221,1833,2026,3689,2769,1833,2681,19814,1013
1013,4192,2114,2026,3822,2726,2114,2856,20256,1013
1013,4028,2157,2026,3514,2655,2157,2445,18478,1013
1013,4415,2088,2026,3899,2746,2088,2824,19815,1013
1013,4095,2078,2026,3633,2688,2078,2581,19147,1013
1013,3874,2096,2026,3626,2641,2096,2693,19607,1013
1013,4140,1956,2026,3661,2696,1956,2608,20939,1013
1013,3981,2182,2026,3843,2676,2182,2632,19833,1013
1013,3773,1949,2026,3710,2677,1949,2696,19372,1013
1013,4008,1992,2026,3388,2580,1992,2512,20267,1013
1013,3762,1984,2026,3654,2662,1984,2617,18718,1013
1013,4130,2089,2026,3444,2612,2089,2663,20494,1013
1013,3845,1962,2026,3402,2773,1962,2503,19578,1013
1013,4384,2123,2026,3843,2758,2123,2606,19609,1013
1013,3566,1920,2026,3416,2541,1920,2548,20502,1013
1013,3912,2085,2026,3682,2676,2085,2555,19813,1013
1013,4124,2090,2026,3738,2634,2090,2655,18716,1013
1013,3732,2070,2026,3437,2704,2070,2764,20505,1013
1013,4102,2087,2026,3619,2750,2087,2794,19823,1013
1013,4273,1954,2026,3563,2641,1954,2640,19390,1013
1013,3978,2041,2026,3591,2769,2041,2634,20487,1013
1013,4001,2057,2026,3584,2564,2057,2663,19589,1013
1013,4189,2083,2026,3710,2764,2083,2703,20263,1013
1013,3913,1991,2026,3808,2619,1991,2654,18717,1013
1013,4059,1847,2026,3682,2670,1847,2643,19365,1013
1013,3893,2072,2026,3605,2711,2072,2569,19383,1013
1013,3668,2078,2026,3423,2631,2078,2511,19816,1013
1013,4015,2061,2026,3689,2710,2061,2562,18682,1013
1013,4347,2118,2026,3836,2689,2118,2730,18464,1013
1013,3699,2074,2026,3661,2570,2074,2661,19586,1013
1013,3944,2100,2026,3423,2715,2100,2568,20287,1013
1013,3989,2081,2026,3794,2683,2081,2822,20284,1013
1013,4049,2133,2026,3535,2703,2133,2701,20057,1013
1013,4204,2098,2026,3612,2716,2098,2666,20064,1013
1013,4150,2045,2026,3465,2677,2045,2653,20722,1013
1013,4285,2054,2026,3647,2663,2054,2655,19823,1013
1013,4176,2060,2026,3731,2681,2060,2665,20249,1013
1013,4122,2131,2026,3465,2580,2131,2529,19815,1013
1013,4027,2166,2026,3633,2735,2166,2613,20275,1013
1013,4312,2103,2026,3941,2733,2103,2696,20045,1013
1013,3890,2023,2026,3759,2790,2023,2689,21411,1013
1013,4095,2093,2026,3962,2756,2093,2764,20053,1013
1013,4023,1900,2026,3640,2651,1900,2652,18043,1013
