qiskit,shp_reduced,gleinig,topdown,dcsp,bdsp,lowrank,baa,merge,cvoqram,pivot,isometry,svd,ucg
502,2752,1452,1004,2212,1408,441,441,1452,1906,14202,502,556,502
502,3131,1576,1004,2170,1383,441,441,1576,1889,13764,502,557,502
502,2821,1542,1004,2093,1364,442,442,1542,1860,12631,502,557,502
502,3057,1493,1004,2275,1390,441,441,1493,1887,13077,502,556,502
502,3179,1537,1004,2212,1372,441,441,1537,1843,14642,502,556,502
502,3221,1562,1004,2205,1387,441,441,1562,1814,14005,502,556,502
502,2719,1432,1004,2163,1402,441,441,1432,2018,13758,502,557,502
502,3100,1585,1004,2149,1393,442,442,1585,1931,13098,502,557,502
502,2950,1403,1004,2219,1386,442,442,1403,1930,13102,502,556,502
502,3045,1460,1004,2114,1396,442,442,1460,2040,12395,502,557,502
502,2934,1476,1004,2254,1400,441,441,1476,1887,14868,502,556,502
502,2865,1509,1004,2373,1395,441,441,1509,1875,12199,502,557,502
502,3033,1420,1004,2142,1398,441,441,1420,1936,13318,502,557,502
502,2786,1483,1004,2093,1372,442,442,1483,1845,14437,502,557,502
502,3060,1458,1004,2289,1377,441,441,1458,1883,13766,502,556,502
502,2765,1575,1004,2345,1352,442,442,1575,1911,14432,502,557,502
502,2991,1521,1004,2338,1389,441,441,1521,1893,13762,502,556,502
502,2700,1428,1004,2233,1397,441,441,1428,2003,13781,502,556,502
502,3023,1529,1004,2289,1379,442,442,1529,2006,14199,502,557,502
502,2891,1558,1004,2331,1394,442,442,1558,1963,13319,502,556,502
502,3179,1501,1004,2107,1381,442,442,1501,1854,13988,502,557,502
502,2777,1447,1004,2205,1387,441,441,1447,2002,14865,502,556,502
502,2982,1537,1004,2268,1371,441,441,1537,1949,13759,502,556,502
502,2981,1514,1004,2338,1376,442,442,1514,2035,13772,502,556,502
502,3047,1521,1004,2163,1365,441,441,1521,1796,13065,502,556,502
502,2972,1535,1004,2247,1415,442,442,1535,1887,13991,502,556,502
502,2765,1550,1004,2219,1370,442,442,1550,1939,13734,502,556,502
502,2896,1525,1004,2177,1390,441,441,1525,1981,12862,502,557,502
502,3066,1442,1004,2317,1400,442,442,1442,1921,13976,502,557,502
502,3130,1534,1004,2233,1384,441,441,1534,1879,13533,502,557,502
502,3012,1640,1004,2331,1405,441,441,1640,1963,13757,502,556,502
502,2910,1573,1004,2324,1395,442,442,1573,1907,13524,502,557,502
502,2994,1601,1004,2135,1376,441,441,1601,1842,13316,502,557,502
502,2926,1506,1004,2093,1353,442,442,1506,1875,15322,502,556,502
502,3195,1452,1004,2275,1388,442,442,1452,2009,13064,502,557,502
502,3028,1534,1004,2205,1365,442,442,1534,1919,14444,502,557,502
502,3016,1572,1004,2184,1381,441,441,1572,1934,13302,502,556,502
502,2785,1459,1004,2338,1392,441,441,1459,1996,13546,502,557,502
502,3117,1466,1004,2142,1385,442,442,1466,1818,15100,502,557,502
502,2806,1497,1004,2114,1348,441,441,1497,1770,14877,502,557,502
502,2885,1539,1004,2205,1390,442,442,1539,1969,13299,502,557,502
502,3154,1445,1004,2275,1395,442,442,1445,1862,12861,502,556,502
502,2836,1496,1004,2226,1394,441,441,1496,1909,14656,502,556,502
502,2875,1452,1004,2366,1403,441,441,1452,1984,12859,502,556,502
502,2885,1478,1004,2219,1361,442,442,1478,1894,13539,502,556,502
502,3023,1489,1004,2212,1392,442,442,1489,1974,13079,502,557,502
502,2823,1512,1004,2282,1365,441,441,1512,1926,14191,502,557,502
