qiskit,linear,linear_reduced,shp_reduced,mst_reduced,shp,mst,random,random_reduced,graycode_reduced,gleinig,topdown,dcsp,bdsp,merge,cvoqram,pivot,isometry,ucg,lowrank,svd
57,456,35,20,29,448,448,454,48,44,13,114,140,102,13,87,79,57,57,31.0,45.0
57,454,46,18,26,447,443,453,57,29,13,114,161,133,13,67,78,57,57,31.0,46.0
57,443,31,31,29,444,442,449,58,23,13,114,189,142,13,120,100,57,57,33.0,46.0
57,460,39,33,30,455,450,451,39,26,21,114,245,209,21,118,101,57,57,45.0,42.0
57,458,37,32,41,450,451,468,39,37,21,114,217,187,21,114,101,57,57,30.0,43.0
57,456,27,29,29,447,447,448,37,33,13,114,147,134,13,105,82,57,57,31.0,46.0
57,456,43,26,25,448,448,454,35,33,16,106,147,108,16,95,69,57,57,31.0,44.0
57,457,46,23,23,446,446,456,33,31,14,110,224,182,14,137,103,57,57,32.0,46.0
57,453,42,20,26,447,445,453,36,22,13,114,196,140,13,83,63,57,57,30.0,46.0
57,457,35,39,48,456,453,461,37,41,24,114,203,195,24,78,81,57,57,44.0,42.0
51,453,41,20,28,447,446,456,48,20,14,106,210,154,14,91,80,51,51,32.0,46.0
57,457,38,29,24,447,449,459,47,28,24,106,168,137,24,78,80,57,57,30.0,46.0
57,452,22,29,28,447,444,457,26,26,18,114,119,106,18,68,84,57,57,31.0,46.0
57,463,40,22,35,450,450,457,57,45,19,110,196,188,19,109,81,57,57,31.0,41.0
57,459,39,20,20,446,446,462,53,44,15,114,189,167,15,104,99,57,57,43.0,45.0
57,457,28,24,36,455,449,456,30,30,20,106,189,165,20,74,93,57,57,28.0,45.0
57,457,39,20,24,447,447,463,28,24,12,114,210,163,12,83,81,57,57,33.0,46.0
57,449,38,22,35,447,442,451,69,62,15,114,203,183,15,111,85,57,57,32.0,46.0
57,457,48,20,33,449,449,456,47,37,17,114,189,161,17,76,64,57,57,32.0,46.0
57,454,45,31,33,449,450,463,46,41,14,110,231,213,14,98,83,57,57,43.0,43.0
57,450,39,31,36,447,448,460,53,42,17,114,189,161,17,101,100,57,57,46.0,46.0
45,454,37,34,24,445,443,454,38,28,17,102,287,217,17,126,86,45,45,30.0,45.0
57,455,35,42,24,450,449,462,54,39,14,110,175,159,14,79,81,57,57,32.0,46.0
57,452,33,31,33,450,447,462,50,35,13,114,217,179,13,79,97,57,57,33.0,46.0
57,455,37,31,35,449,448,456,63,22,17,106,231,189,17,106,100,57,57,45.0,46.0
57,451,35,44,30,455,449,461,37,35,18,106,210,165,18,85,82,57,57,33.0,46.0
57,465,44,44,32,453,453,455,43,26,19,98,196,192,19,94,96,57,57,46.0,42.0
57,458,37,33,30,452,451,462,51,49,18,110,203,170,18,99,81,57,57,31.0,46.0
57,453,44,22,35,451,448,465,42,46,18,104,196,188,18,87,82,57,57,29.0,45.0
57,452,33,31,32,449,447,464,40,20,13,110,231,195,13,104,80,57,57,30.0,45.0
57,460,41,22,27,451,448,461,66,28,14,114,182,140,14,95,67,57,57,27.0,44.0
57,454,33,26,37,448,442,451,61,37,15,114,182,132,15,107,95,57,57,30.0,43.0
57,462,43,33,37,452,454,458,51,26,15,110,182,167,15,81,82,57,57,46.0,46.0
57,458,41,26,30,452,450,456,34,26,19,108,189,167,19,98,87,57,57,45.0,45.0
57,460,52,22,34,451,452,461,54,37,24,108,133,115,24,91,68,57,57,28.0,44.0
57,459,41,22,28,451,445,461,80,35,27,102,168,126,27,102,95,57,57,33.0,46.0
57,460,60,41,32,449,447,454,49,57,15,114,154,130,15,83,101,57,57,32.0,45.0
57,462,52,33,28,453,450,458,52,30,14,114,224,187,14,112,103,57,57,46.0,46.0
57,464,43,29,24,449,448,464,32,43,19,112,189,189,19,92,96,57,57,45.0,46.0
